species_id,species_url,species_name_common,downloaded
,fullCuts.cfm?SP=BD15F&YR=-1,"""Atlantic Spotted Dolphin""",FALSE
,fullCuts.cfm?SP=CC2A&YR=-1,"""Bearded Seal""",FALSE
,fullCuts.cfm?SP=BB1A&YR=-1,"""Beluga, White Whale""",FALSE
,fullCuts.cfm?SP=AC1E&YR=-1,"""Blue Whale""",FALSE
,fullCuts.cfm?SP=BD19D&YR=-1,"""Bottlenose Dolphin""",FALSE
,fullCuts.cfm?SP=BG2A&YR=-1,"""Boutu, Amazon River Dolphin""",FALSE
,fullCuts.cfm?SP=AA1A&YR=-1,"""Bowhead Whale""",FALSE
,fullCuts.cfm?SP=BD15B&YR=-1,"""Clymene Dolphin""",FALSE
,fullCuts.cfm?SP=BD1A&YR=-1,"""Commerson's Dolphin""",FALSE
,fullCuts.cfm?SP=BD3B&YR=-1,"""Common Dolphin""",FALSE
,fullCuts.cfm?SP=BF4A&YR=-1,"""Dall's Porpoise""",FALSE
,fullCuts.cfm?SP=BD6H&YR=-1,"""Dusky Dolphin""",FALSE
,fullCuts.cfm?SP=BE9A&YR=-1,"""False Killer Whale""",FALSE
,fullCuts.cfm?SP=AC1F&YR=-1,"""Fin, Finback Whale""",FALSE
,fullCuts.cfm?SP=BF6A&YR=-1,"""Finless Porpoise""",FALSE
,fullCuts.cfm?SP=BD5A&YR=-1,"""Fraser's Dolphin""",FALSE
,fullCuts.cfm?SP=BD4A&YR=-1,"""Grampus, Risso's Dolphin""",FALSE
,fullCuts.cfm?SP=CC3A&YR=-1,"""Gray Seal""",FALSE
,fullCuts.cfm?SP=AB1A&YR=-1,"""Gray Whale""",FALSE
,fullCuts.cfm?SP=BF2A&YR=-1,"""Harbor Porpoise""",FALSE
,fullCuts.cfm?SP=CC12V&YR=-1,"""Harbour Seal""",FALSE
,fullCuts.cfm?SP=CC12G&YR=-1,"""Harp Seal""",FALSE
,fullCuts.cfm?SP=BD1C&YR=-1,"""Heaviside's Dolphin""",FALSE
,fullCuts.cfm?SP=CC1A&YR=-1,"""Hooded Seal""",FALSE
,fullCuts.cfm?SP=AC2A&YR=-1,"""Humpback Whale""",FALSE
,fullCuts.cfm?SP=BD12A&YR=-1,"""Irawaddy Dolphin""",FALSE
,fullCuts.cfm?SP=CA1P&YR=-1,"""Juan Fernandez Fur Seal""",FALSE
,fullCuts.cfm?SP=BE7A&YR=-1,"""Killer Whale""",FALSE
,fullCuts.cfm?SP=CC4A&YR=-1,"""Leopard Seal""",FALSE
,fullCuts.cfm?SP=BD3A&YR=-1,"""Long Beaked (Pacific Common Dolphin)""",FALSE
,fullCuts.cfm?SP=BE3C&YR=-1,"""Long-Finned Pilot Whale""",FALSE
,fullCuts.cfm?SP=BD10A&YR=-1,"""Melon Headed Whale""",FALSE
,fullCuts.cfm?SP=AC1A&YR=-1,"""Minke Whale""",FALSE
,fullCuts.cfm?SP=BB2A&YR=-1,"""Narwhal""",FALSE
,fullCuts.cfm?SP=CA1F&YR=-1,"""New Zealand Fur Seal""",FALSE
,fullCuts.cfm?SP=AA3A&YR=-1,"""Northern Right Whale""",FALSE
,fullCuts.cfm?SP=BD15A&YR=-1,"""Pantropical Spotted Doplhin""",FALSE
,fullCuts.cfm?SP=CC12F&YR=-1,"""Ribbon Seal""",FALSE
,fullCuts.cfm?SP=CC12H&YR=-1,"""Ringed Seal""",FALSE
,fullCuts.cfm?SP=CC14A&YR=-1,"""Ross Seal""",FALSE
,fullCuts.cfm?SP=BD17A&YR=-1,"""Rough-Toothed Dolphin""",FALSE
,fullCuts.cfm?SP=CD1A&YR=-1,"""Sea Otter""",FALSE
,fullCuts.cfm?SP=BE3D&YR=-1,"""Short-Finned (Pacific) Pilot Whale""",FALSE
,fullCuts.cfm?SP=AA3B&YR=-1,"""Southern Right Whale""",FALSE
,fullCuts.cfm?SP=BA2A&YR=-1,"""Sperm Whale""",FALSE
,fullCuts.cfm?SP=BD15L&YR=-1,"""Spinner Dolphin""",FALSE
,fullCuts.cfm?SP=CC12L&YR=-1,"""Spotted Seal""",FALSE
,fullCuts.cfm?SP=CA3B&YR=-1,"""Steller Sea Lion""",FALSE
,fullCuts.cfm?SP=BD15C&YR=-1,"""Striped Dolphin""",FALSE
,fullCuts.cfm?SP=BD12B&YR=-1,"""Tucuxi Dolphin""",FALSE
,fullCuts.cfm?SP=CB1A&YR=-1,"""Walrus""",FALSE
,fullCuts.cfm?SP=CC5A&YR=-1,"""Weddell Seal""",FALSE
,fullCuts.cfm?SP=DB1B&YR=-1,"""West Indian Manatee""",FALSE
,fullCuts.cfm?SP=BD6B&YR=-1,"""White-beaked Dolphin""",FALSE
,fullCuts.cfm?SP=BD6A&YR=-1,"""White-sided Dolphin""",FALSE
